Time (s),W,X,Y,Z
0.009819508,0.9543733,-0.002852147,-0.01374127,0.2925791
0.029565811,0.9543938,-0.002822647,-0.01372287,0.292513
0.049307823,0.9544235,-0.002780076,-0.01367453,0.2924185
0.069053173,0.954443,-0.002744488,-0.01362905,0.2923578
0.088799000,0.9544432,-0.002777931,-0.01359444,0.2923582
0.108544826,0.9543967,-0.002866165,-0.01360891,0.2925088
0.128290176,0.9543225,-0.002851595,-0.01363564,0.2927492
0.148036003,0.9542388,-0.002808989,-0.01367903,0.2930205
0.167782306,0.9541577,-0.002835542,-0.01371015,0.2932828
0.189996242,0.954083,-0.002853617,-0.01375316,0.2935238
0.209741592,0.9540126,-0.00293457,-0.01382011,0.2937481
0.229487419,0.9540002,-0.002967763,-0.01387306,0.2937855
0.249229431,0.9539909,-0.003021023,-0.01391737,0.2938133
0.268974781,0.9539718,-0.003092536,-0.01399975,0.2938705
0.288720608,0.9539596,-0.003168005,-0.01409169,0.2939047
0.308466434,0.953962,-0.003184056,-0.01414657,0.2938942
0.328211784,0.9539616,-0.003192446,-0.01421367,0.2938925
0.347957611,0.9539694,-0.003216007,-0.01426158,0.2938644
0.367703914,0.9539935,-0.003240506,-0.01434102,0.293782
0.389917850,0.9540258,-0.003260006,-0.01437407,0.2936753
0.409663677,0.9540662,-0.003246549,-0.01440086,0.2935431
0.429409027,0.9541219,-0.003221994,-0.01435881,0.2933644
0.449151039,0.9541874,-0.003169643,-0.01428925,0.2931552
0.468896389,0.9542531,-0.003123642,-0.01424241,0.2929441
0.488642216,0.9543202,-0.003078267,-0.0142139,0.2927272
0.508388042,0.9543861,-0.003012815,-0.01415985,0.2925155
0.528133392,0.9544678,-0.002865037,-0.01406516,0.2922548
0.547879219,0.9545652,-0.002693951,-0.01401425,0.2919405
0.567625523,0.9546295,-0.002649621,-0.01397579,0.2917327
0.589839458,0.9546348,-0.002789231,-0.01388582,0.2917179
0.609585285,0.9545982,-0.002955361,-0.01384511,0.2918382
0.629330635,0.9545152,-0.0031599,-0.01389577,0.2921047
0.649072647,0.9544348,-0.003246312,-0.01394344,0.2923643
0.668818474,0.9543709,-0.003142087,-0.01400819,0.2925706
0.688563824,0.9543204,-0.003038857,-0.0140541,0.2927342
0.708309650,0.954268,-0.003032306,-0.01411651,0.2929023
0.728055954,0.9542164,-0.003036202,-0.01417138,0.2930679
0.747801304,0.9541604,-0.003030046,-0.01418492,0.2932497
0.770015240,0.9540743,-0.003056836,-0.01418586,0.2935292
0.789761066,0.953995,-0.003106084,-0.01415592,0.2937874
0.809506893,0.9539165,-0.003128187,-0.01411392,0.294044
0.829252243,0.9538637,-0.003096063,-0.01406657,0.2942181
0.848994255,0.9538516,-0.00300935,-0.0140039,0.2942609
0.868740082,0.9539117,-0.002894724,-0.01394608,0.2940706
