Time (s),Power (dBm),Percentage (%)
0.491434097,-57,86
0.991600513,-60,80
1.491468429,-59,82
1.991570473,-57,86
2.491435528,-59,82
2.991543770,-59,82
3.491532326,-60,80
3.991563320,-60,80
4.491325855,-64,72
4.991599560,-65,70
5.491323948,-59,82
5.991573811,-59,82
6.491282463,-57,86
6.991490841,-57,86
7.491313934,-59,82
7.991383076,-59,82
8.491239548,-51,98
8.991516590,-55,90
9.491473198,-53,94
9.991713047,-55,90
10.491336822,-53,94
10.991430283,-57,86
11.491273403,-59,82
11.991487503,-58,84
12.491231441,-60,80
12.991550446,-60,80
13.491470337,-55,90
13.991386414,-59,82
14.491264820,-55,90
14.991348743,-62,76
15.491280556,-55,90
15.991341114,-57,86
16.491348743,-59,82
16.991362095,-59,82
17.491247654,-59,82
17.991380692,-62,76
18.491147518,-59,82
18.991329670,-60,80
19.491130829,-63,74
19.991534710,-62,76
20.491077423,-61,78
20.991357803,-60,80
21.491077900,-59,82
21.991202354,-59,82
22.491053581,-62,76
22.991159439,-62,76
23.491209984,-60,80
23.991443634,-62,76
24.491043568,-62,76
24.991216660,-59,82
25.491053104,-60,80
25.991130829,-58,84
26.490955830,-60,80
26.991271973,-61,78
27.490966797,-64,72
27.991176605,-64,72
28.490948677,-62,76
28.991272926,-59,82
29.490884304,-62,76
29.991234779,-65,70
30.491085529,-60,80
30.991123676,-62,76
31.490945339,-63,74
31.991028309,-59,82
32.490910053,-64,72
32.991043568,-57,86
33.490818024,-59,82
33.991217613,-60,80
34.490834713,-62,76
34.991106510,-59,82
35.490880489,-62,76
