Time (s),Humidity (%)
0.331322670,31.47363
1.331679344,32.12402
2.329971790,31.94922
3.330331325,31.55469
4.330691337,31.16992
5.331053734,31.49707
6.331482410,29.91992
7.331964493,31.00977
8.329864025,30.84375
9.330228805,29.79004
10.330599308,29.97949
11.330962658,29.91895
12.331327438,29.21973
13.331694603,29.49316
14.329599380,29.43164
15.329968452,28.78418
16.330338478,28.44043
17.330709457,28.52539
18.331080437,29.34375
19.331452846,29.27246
20.331825256,28.66602
21.329734802,28.32227
22.330109119,28.36621
23.330483913,29.70801
24.330859184,28.19043
25.331235885,28.17188
26.331612587,28.82324
27.329526424,29.18066
28.329905510,28.91992
29.330284118,28.16797
30.330664158,28.45215
31.331044674,28.94629
32.331426143,28.35059
33.329344749,29.33691
34.329725742,27.94531
