%  Name/ID : Pilot 
%  Gender:  male
%  Age: 9
% weight(kg):0
% Height(cm):0
%  Wheel Size :24 in/540mm
%  Wheel Side :Right 
%  S/N :PRO00008
%  Comment:%  Data were taken at 00/00/0000 0:00:00 PM
% Comment : 
%%%%%
%Time(s) 	Push Start 	Push End 	Fx 	Fy 	Fz 	Tx 	Ty 	Tz 	Angle 
0.000000	0.000000	0.000000	2.843142	1.728670	-4.035714	0.004411	0.006048	0.054661	210.752342
0.005000	0.000000	0.000000	2.496804	1.476801	-4.835665	-0.007090	0.024911	0.068639	211.845499
0.010000	0.000000	0.000000	2.099407	1.236806	-5.196486	-0.020400	0.028264	0.076381	212.806820
0.015000	0.000000	0.000000	1.668398	1.118242	-5.252890	-0.029962	0.019123	0.076055	213.850538
0.020000	0.000000	0.000000	1.206833	1.213411	-5.140021	-0.030468	0.002255	0.068221	214.603110
0.025000	0.000000	0.000000	0.726634	1.549406	-4.919469	-0.018473	-0.017044	0.055624	215.465554
0.030000	0.000000	0.000000	0.267104	2.058925	-4.568598	0.006012	-0.033646	0.042385	216.448848
0.035000	0.000000	0.000000	-0.108922	2.588300	-4.037296	0.038616	-0.043119	0.032544	217.531018
0.040000	0.000000	0.000000	-0.338074	2.950080	-3.329856	0.071198	-0.042508	0.028388	218.409933
0.045000	0.000000	0.000000	-0.385207	2.998173	-2.549806	0.094174	-0.031340	0.029457	219.827195
0.050000	0.000000	0.000000	-0.265024	2.683596	-1.871746	0.099976	-0.012176	0.033006	220.360041
0.055000	0.000000	0.000000	-0.042587	2.066106	-1.458702	0.086219	0.009890	0.035812	223.386817
0.060000	0.000000	0.000000	0.194438	1.289167	-1.383425	0.057000	0.028776	0.036082	223.112150
0.065000	0.000000	0.000000	0.378627	0.535118	-1.605632	0.021483	0.039406	0.034167	223.584571
0.070000	0.000000	0.000000	0.492863	-0.030999	-2.011807	-0.009720	0.039457	0.031717	225.556651
0.075000	0.000000	0.000000	0.575136	-0.309414	-2.480224	-0.028573	0.030209	0.030000	227.451818
0.080000	0.000000	0.000000	0.704225	-0.280822	-2.926554	-0.032137	0.016084	0.028487	227.001370
0.085000	0.000000	0.000000	0.966879	0.005119	-3.311379	-0.022812	0.003042	0.024594	227.391394
0.090000	0.000000	0.000000	1.409353	0.445662	-3.619744	-0.006738	-0.003505	0.014885	229.209657
0.095000	0.000000	0.000000	1.997844	0.904951	-3.835580	0.008702	-0.000488	-0.002735	229.704050
0.100000	0.000000	0.000000	2.616925	1.249034	-3.931502	0.017365	0.011969	-0.027026	230.561001
0.105000	0.000000	0.000000	3.111038	1.388146	-3.881857	0.016106	0.030880	-0.052923	232.088118
0.110000	0.000000	0.000000	3.348794	1.306360	-3.687497	0.005440	0.051551	-0.073226	233.186772
0.115000	0.000000	0.000000	3.276951	1.064003	-3.387066	-0.010887	0.068853	-0.081755	233.917371
0.120000	0.000000	0.000000	2.933407	0.768370	-3.037847	-0.027229	0.078161	-0.076110	234.538107
0.125000	0.000000	0.000000	2.414481	0.524224	-2.677032	-0.037861	0.075959	-0.058411	236.043260
0.130000	0.000000	0.000000	1.824830	0.390003	-2.296302	-0.038756	0.060481	-0.033818	236.916686
0.135000	0.000000	0.000000	1.245807	0.363280	-1.856454	-0.028771	0.032511	-0.008111	237.729687
0.140000	0.000000	0.000000	0.734674	0.399926	-1.338762	-0.009891	-0.004033	0.014057	239.141452
0.145000	0.000000	0.000000	0.339568	0.451324	-0.799225	0.013493	-0.042396	0.029388	240.322499
0.150000	0.000000	0.000000	0.107214	0.496791	-0.382734	0.035951	-0.074604	0.035131	241.195925
0.155000	0.000000	0.000000	0.073057	0.554409	-0.275470	0.052450	-0.094017	0.028639	241.552985
0.160000	0.000000	0.000000	0.241110	0.665493	-0.615051	0.059397	-0.097720	0.008271	242.981229
0.165000	0.000000	0.000000	0.568327	0.860808	-1.409279	0.055205	-0.087411	-0.024713	243.744792
0.170000	0.000000	0.000000	0.963646	1.127943	-2.510194	0.040616	-0.068275	-0.064755	244.783017
0.175000	0.000000	0.000000	1.305006	1.401998	-3.656111	0.018826	-0.046507	-0.102532	245.793772
0.180000	0.000000	0.000000	1.472674	1.589278	-4.559481	-0.004871	-0.026791	-0.127615	246.771573
0.185000	0.000000	0.000000	1.389804	1.611680	-5.002501	-0.024242	-0.010912	-0.132049	247.743876
0.190000	0.000000	0.000000	1.052908	1.446012	-4.905327	-0.033965	0.001987	-0.113084	248.754635
0.195000	0.000000	0.000000	0.537048	1.139397	-4.346112	-0.031481	0.013796	-0.074098	249.567636
0.200000	0.000000	0.000000	-0.026082	0.795363	-3.530777	-0.017963	0.025524	-0.023778	250.248797
0.205000	0.000000	0.000000	-0.487246	0.532135	-2.726127	0.002045	0.036264	0.026049	251.688027
0.210000	0.000000	0.000000	-0.722458	0.431336	-2.177582	0.022208	0.043640	0.063515	252.523001
0.215000	0.000000	0.000000	-0.668620	0.508707	-2.033465	0.036650	0.045319	0.079996	253.550240
0.220000	0.000000	0.000000	-0.345259	0.721492	-2.296487	0.042008	0.040509	0.072442	254.703822
0.225000	0.000000	0.000000	0.144114	1.000282	-2.820828	0.038406	0.030463	0.043921	255.110324
0.230000	0.000000	0.000000	0.637390	1.280965	-3.363250	0.028881	0.017762	0.002321	256.862669
0.235000	0.000000	0.000000	0.964552	1.521175	-3.673656	0.017569	0.005057	-0.042204	257.203250
0.240000	0.000000	0.000000	1.007619	1.702604	-3.587090	0.007731	-0.005816	-0.080119	258.620508
0.245000	0.000000	0.000000	0.744010	1.827176	-3.076623	0.000751	-0.013874	-0.104829	258.878691
0.250000	0.000000	0.000000	0.253713	1.910103	-2.249458	-0.003559	-0.018430	-0.113762	260.257496
0.255000	0.000000	0.000000	-0.310567	1.966643	-1.299208	-0.005988	-0.018586	-0.108097	260.823301
0.260000	0.000000	0.000000	-0.775637	1.998689	-0.442986	-0.007214	-0.013318	-0.091523	261.762645
0.265000	0.000000	0.000000	-1.004144	1.994813	0.133816	-0.007658	-0.002255	-0.068710	263.070039
0.270000	0.000000	0.000000	-0.938450	1.943669	0.317588	-0.007595	0.013228	-0.044047	263.591898
0.275000	0.000000	0.000000	-0.617350	1.847499	0.093085	-0.007172	0.029418	-0.020918	264.739987
0.280000	0.000000	0.000000	-0.158383	1.725560	-0.445276	-0.006363	0.040923	-0.001564	266.025404
0.285000	0.000000	0.000000	0.286745	1.607430	-1.108571	-0.005065	0.042622	0.012537	266.239642
0.290000	0.000000	0.000000	0.584698	1.519429	-1.666704	-0.003307	0.032091	0.020175	267.382237
0.295000	0.000000	0.000000	0.660899	1.470697	-1.934223	-0.001388	0.011131	0.020337	268.228198
0.300000	0.000000	0.000000	0.515281	1.450884	-1.855305	0.000275	-0.014618	0.012737	269.052185
0.305000	0.000000	0.000000	0.214030	1.441635	-1.539573	0.001530	-0.037900	-0.001510	269.969558
0.310000	0.000000	0.000000	-0.131925	1.428576	-1.217489	0.002700	-0.052649	-0.019763	271.408789
0.315000	0.000000	0.000000	-0.392737	1.405099	-1.129795	0.004318	-0.055887	-0.038526	272.760129
0.320000	0.000000	0.000000	-0.450248	1.376934	-1.409330	0.006490	-0.047953	-0.054563	272.765622
0.325000	0.000000	0.000000	-0.233440	1.370109	-2.021100	0.008361	-0.031470	-0.065769	273.419317
0.330000	0.000000	0.000000	0.252788	1.422115	-2.790138	0.008156	-0.010044	-0.071247	274.457542
0.335000	0.000000	0.000000	0.920296	1.551498	-3.493454	0.004099	0.012581	-0.070748	275.825361
0.340000	0.000000	0.000000	1.618687	1.734746	-3.960233	-0.004109	0.032934	-0.064191	276.220874
0.345000	0.000000	0.000000	2.183153	1.912654	-4.129789	-0.014362	0.048159	-0.051880	277.671093
0.350000	0.000000	0.000000	2.494287	2.023033	-4.047066	-0.022801	0.056463	-0.035302	278.192950
0.355000	0.000000	0.000000	2.519862	2.038519	-3.810052	-0.025846	0.057485	-0.017767	279.297093
0.360000	0.000000	0.000000	2.312253	1.978300	-3.506257	-0.022271	0.052233	-0.003931	279.736552
0.365000	0.000000	0.000000	1.962042	1.883185	-3.175634	-0.013973	0.042559	0.002033	280.829709
0.370000	0.000000	0.000000	1.540679	1.776048	-2.815851	-0.005140	0.030614	-0.001278	281.692149
0.375000	0.000000	0.000000	1.072935	1.637158	-2.418120	-0.000672	0.018734	-0.011161	283.136874
0.380000	0.000000	0.000000	0.552223	1.410963	-2.006851	-0.004918	0.009692	-0.021279	284.120166
0.385000	0.000000	0.000000	-0.022315	1.037530	-1.659116	-0.021215	0.006817	-0.023681	284.076218
0.390000	0.000000	0.000000	-0.619114	0.484965	-1.491517	-0.052038	0.013508	-0.011424	285.702221
0.395000	0.000000	0.000000	-1.178478	-0.229970	-1.615150	-0.099104	0.032103	0.019184	286.377891
0.400000	0.000000	0.000000	-1.642194	-1.033019	-2.075334	-0.162800	0.062666	0.067340	287.009613
0.405000	0.000000	0.000000	-1.981524	-1.800873	-2.806347	-0.240926	0.102507	0.127841	287.723735
0.410000	0.000000	0.000000	-2.203796	-2.389739	-3.628385	-0.327444	0.146919	0.192469	289.327764
0.415000	0.000000	0.000000	-2.339462	-2.676474	-4.292420	-0.412284	0.190692	0.252310	289.745251
0.420000	0.000000	0.000000	-2.424010	-2.598253	-4.555357	-0.482784	0.229393	0.300322	290.783475
0.425000	0.000000	0.000000	-2.488257	-2.174475	-4.258258	-0.526561	0.259713	0.333316	291.470131
0.430000	0.000000	0.000000	-2.557781	-1.507237	-3.384387	-0.534917	0.279070	0.352645	292.074388
0.435000	0.000000	0.000000	-2.652323	-0.766397	-2.081610	-0.505704	0.285204	0.363313	293.151064
0.440000	0.000000	0.000000	-2.779976	-0.156999	-0.640329	-0.444615	0.276366	0.371732	293.716869
0.445000	0.000000	0.000000	-2.929805	0.134463	0.574039	-0.364285	0.252179	0.382814	294.985810
0.450000	0.000000	0.000000	-3.070587	0.001246	1.223259	-0.281178	0.214744	0.397452	295.348364
0.455000	0.000000	0.000000	-3.158137	-0.546238	1.104951	-0.211039	0.169287	0.411366	296.331655
0.460000	0.000000	0.000000	-3.149781	-1.386780	0.223584	-0.164445	0.123687	0.415624	297.974136
0.465000	0.000000	0.000000	-3.027121	-2.324969	-1.214946	-0.144301	0.086595	0.398508	297.902724
0.470000	0.000000	0.000000	-2.818304	-3.139316	-2.886056	-0.146464	0.064683	0.348331	298.578393
0.475000	0.000000	0.000000	-2.600011	-3.638650	-4.460272	-0.163067	0.060200	0.256811	299.979171
0.480000	0.000000	0.000000	-2.472802	-3.717694	-5.687132	-0.186606	0.070138	0.122233	300.770199
0.485000	0.000000	0.000000	-2.519767	-3.396471	-6.419960	-0.212672	0.087402	-0.048819	301.187686
0.490000	0.000000	0.000000	-2.766935	-2.830697	-6.598577	-0.240244	0.103341	-0.242133	303.720073
0.495000	0.000000	0.000000	-3.176748	-2.269141	-6.228154	-0.269798	0.110693	-0.439151	303.945296
0.500000	0.000000	0.000000	-3.685704	-1.951348	-5.379186	-0.300591	0.106033	-0.622129	304.302358
0.505000	0.000000	0.000000	-4.230476	-2.010426	-4.203595	-0.329091	0.090752	-0.779548	305.569361
0.510000	0.000000	0.000000	-4.714611	-2.456306	-2.937337	-0.349880	0.070078	-0.909697	306.834347
0.515000	0.000000	0.000000	-4.985825	-3.215998	-1.858871	-0.358421	0.051049	-1.020845	308.095297
0.520000	0.000000	0.000000	-4.895614	-4.174023	-1.203322	-0.353906	0.040507	-1.127946	309.350193
0.525000	0.000000	0.000000	-4.379363	-5.219250	-1.074514	-0.340746	0.043205	-1.247540	310.597018
