Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.915885448,98.30078,152.71875,4.028125,344.375,0
1.969943047,98.28906,152.71875,4.0325,287.8125,0
2.849044800,98.27734,152.90625,4.03,283.75,0
3.903877735,98.26563,152.71875,4.031875,284.6875,0
4.958458900,98.25391,152.34375,4.03125,292.5,0
5.837420940,98.24219,151.78125,4.03,276.5625,0
6.892219067,98.24219,152.15625,4.028125,286.875,0
7.947239876,98.22656,151.96875,4.033125,294.0625,0
8.826066494,98.21484,151.96875,4.026875,279.0625,0
9.880815983,98.20313,151.96875,4.034375,293.125,0
10.935793400,98.19141,152.0625,4.029375,280.9375,0
11.990781307,98.17969,151.40625,4.03,283.75,0
12.869526386,98.16797,151.03125,4.0225,290,0
13.924129963,98.15625,151.40625,4.02875,266.5625,0
14.979128838,98.14453,151.5,4.026875,294.6875,0
15.857872486,98.12891,151.21875,4.029375,345.9375,0
16.912872314,98.11719,150.09375,4.028125,294.6875,0
17.967697620,98.11719,149.8125,4.0225,278.75,0
18.846606731,98.10547,150.5625,4.03,293.125,0
19.901218891,98.09375,150.1875,4.029375,283.125,0
20.955960274,98.08203,150.375,4.0275,347.1875,0
21.835110187,98.07031,150.46875,4.029375,269.375,0
22.889766216,98.05859,151.125,4.028125,273.4375,0
23.944760323,98.04688,150.65625,4.025,275,0
24.823518753,98.04688,150.9375,4.03125,270,0
25.878435612,98.03125,150.28125,4.02875,265.625,0
26.933058739,98.01953,150.46875,4.028125,298.75,0
27.987892628,98.00781,150.1875,4.020625,291.25,0
28.867099762,97.99609,150.28125,4.026875,285.625,0
29.921916008,97.98438,150.28125,4.03,287.8125,0
30.976590157,97.97266,150.75,4.028125,270.625,0
31.855368614,97.96094,150.65625,4.025625,291.875,0
32.910288334,97.94922,150.65625,4.0175,295,0
33.965112209,97.94922,151.03125,4.028125,270.3125,0
34.844091415,97.93359,150.9375,4.03,279.0625,0
