Time (s),X (g),Y (g),Z (g)
0.004883766,0.006239789,-0.0041868,0.01840663
0.007351875,0.005264536,-0.003600747,0.01559652
0.009819508,0.008402106,-0.003974936,0.01400064
0.012288570,0.01267734,-0.003866003,0.01619017
0.014756203,0.007882765,-0.00176235,0.01982145
0.017224312,0.004217141,-0.005792494,0.01319945
0.019692898,0.005470774,-0.003134228,0.01463956
0.022161007,0.007707343,-0.002328055,0.01407313
0.024629116,0.005856754,-0.002762376,0.01702197
0.027097702,0.001212972,-0.004324915,0.01529256
0.029565811,0.00687147,-0.005229941,0.01308478
0.032039165,0.005040224,-0.004570839,0.01414565
0.034498214,0.01487627,-0.002059638,0.005600395
0.036966324,0.009148251,-0.006150962,0.01295217
0.039434433,0.009667616,-0.007537952,0.01720005
0.041903019,0.0145561,-0.01199755,0.01254972
0.044371128,0.01122078,-0.009182697,0.01373449
0.046838760,0.01243308,-0.00650833,0.01469703
0.049307823,0.01608207,-0.00560439,0.008323445
0.051775455,0.01922823,-0.008644409,0.01623278
0.054243564,0.008290532,-0.008336379,0.015328
0.056712150,0.007445909,-0.01013569,0.01197457
0.059180259,0.01292849,-0.005160448,0.01039668
0.061648369,0.01198431,-0.008508615,0.01227392
0.064116955,0.007644473,-0.006211527,0.01205782
0.066585064,0.007081439,-0.003528851,0.0121495
0.069053173,0.0105762,0.002116989,0.008769355
0.071525097,0.01197941,0.004554395,0.005890159
0.073989391,0.01416713,0.0009648521,0.01335362
0.076457500,0.01260348,-0.0003488707,0.01148354
0.078926086,0.005564784,0.0003007965,0.01327022
0.081394195,0.003480238,0.008564089,0.01404868
0.083862304,0.004866723,0.005973102,0.01679056
0.086330890,0.00417655,-0.00187348,0.005148892
0.088799000,0.007438614,0.001801823,0.009388165
0.091267109,0.004749937,0.003796885,0.01961267
0.093735695,0.003192293,-0.007587781,0.003620242
0.096207619,0.008168723,-0.01110277,0.0181294
0.098671436,0.00354803,0.009809592,0.02172763
0.101140022,-0.008518135,0.03346411,0.007094522
0.103608131,-0.01722036,0.02113409,-0.002834924
0.106076240,-0.003136843,0.002194716,0.003205446
0.108544826,0.001198768,0.01390806,0.04060793
0.111012935,-0.01771651,0.02590454,0.02028079
0.113481045,-0.0226317,-0.003949048,-0.02184548
0.115949631,0.009969088,-0.01964843,0.05850979
0.118417740,0.02234166,-0.01043982,0.03900456
0.120886802,-0.02173682,-0.01527724,-0.01785934
0.123353958,-0.02001291,-0.006420357,-0.009113079
0.125822067,0.01190827,0.01083812,0.01179224
0.128290176,0.002774844,0.006883396,0.02744497
0.130758762,-0.02632932,-0.004556497,-0.009242194
0.133226871,-0.01984419,0.005653923,0.02275703
0.135694980,-0.01094698,0.002752715,0.02752483
0.138163566,-0.01741732,-0.02002285,-0.002387728
0.140631676,-0.006857757,0.007022665,0.02887025
0.143099308,-0.001036408,0.01985538,0.005461929
0.145568371,-0.01549848,-0.01471454,0.008656833
0.148036003,-0.008242911,-0.01776883,0.008234559
0.150504112,0.0084935,0.01385075,0.01634005
0.152972698,0.004656619,0.005280511,0.008657886
0.155445576,0.004344749,-0.007387089,-0.001686159
0.157908916,0.009028651,0.003933959,0.02707681
0.160380363,-0.006846764,-0.0005596673,-0.001461481
0.162845611,-0.03350545,-0.009757076,0.004376536
0.165313244,-0.02976038,0.00339288,0.00835023
0.167782306,-0.006451556,0.01101734,0.01124849
0.172718048,-0.01635312,0.001473375,0.009576107
0.175186634,-0.02706008,0.01792402,0.01719695
0.177654743,-0.01392051,0.008146889,-0.004248895
0.180122852,0.004406794,-0.00598109,0.03615301
0.182591438,0.001809961,0.003531859,0.02455041
0.185059547,-0.0159776,0.006497278,-0.01088638
0.187527180,-0.01256144,0.002898099,0.006565006
0.189996242,0.004420338,0.001070182,0.0176662
0.192463875,0.002792745,0.008299601,0.03562711
0.194937229,-0.01906174,0.01124361,-0.01731925
0.197400570,-0.01991963,0.02357168,-0.004052211
0.199868679,-0.009810864,0.01511843,0.0220502
0.202336788,-0.004664063,-1.711502E-05,0.01281684
0.204805374,-0.01526069,0.01076,0.02651438
0.207273483,-0.02232998,0.01660066,0.001162708
0.209741592,-0.007796914,0.002054026,0.01397966
0.212210178,0.001041911,0.0002509364,0.01590244
0.214677810,-0.01079687,0.006961351,0.01616043
0.217145920,-0.01463387,-0.0006564281,-0.001546968
0.219614506,-0.01223581,-0.0009951476,0.003114002
0.222082615,0.001634225,0.008278629,0.03234392
0.224550724,-0.009639159,0.007095948,0.005105258
0.227019310,-0.02499273,0.008632825,0.003970292
0.229487419,-0.009801233,0.01293555,0.004783793
0.231955528,-0.002522953,0.00526315,0.0329533
0.234419823,-0.009089611,0.001388028,0.02503975
0.236887932,-0.0162867,0.01042838,0.01030105
0.239356041,-0.008767161,0.01196233,0.0200277
0.241824627,-0.003304506,-0.001050614,0.01226216
0.244292736,-0.0006071185,0.001986797,0.02273497
0.246760845,-0.001592434,0.01278057,0.01396198
0.249229431,-0.009289069,0.004646897,0.01412993
0.251697540,-0.006243903,0.005529426,0.01591977
0.254165172,-0.005474404,0.01081347,0.01840878
