Time (s),X (g),Y (g),Z (g)
0.004883766,0.007037286,-5.025417E-06,0.01873684
0.007351875,0.005974313,-6.142166E-05,0.01587641
0.009819508,0.00884119,0.001405499,0.01435339
0.012288570,0.01227458,0.003907551,0.01666152
0.014756203,0.006994313,0.002937215,0.02016807
0.017224312,0.006410044,-0.002472292,0.01346779
0.019692898,0.005909719,0.0004449631,0.01491189
0.022161007,0.007330788,0.002381997,0.01438636
0.024629116,0.005953589,0.0009660604,0.01731396
0.027097702,0.003022265,-0.002955582,0.01547945
0.029565811,0.008303875,-0.0005038739,0.01341039
0.032039165,0.006377894,-0.0009936416,0.01442355
0.034498214,0.01338308,0.006680598,0.006033659
0.036966324,0.01072265,1.647463E-05,0.01334584
0.039434433,0.01181902,-0.0008565169,0.01765257
0.041903019,0.01853799,-0.001793366,0.01315403
0.044371128,0.01413901,-0.001339479,0.01422513
0.046838760,0.01360976,0.001568914,0.01518732
0.049307823,0.01631471,0.004401123,0.008850813
0.051775455,0.02042868,0.003625885,0.01692939
0.054243564,0.01117882,-0.002297155,0.01574373
0.056712150,0.01158692,-0.004263415,0.0123719
0.059180259,0.01338257,0.002981145,0.01085234
0.061648369,0.01443626,-0.000345441,0.01276296
0.064116955,0.009533245,-0.0008853483,0.01240724
0.066585064,0.007546606,0.001029401,0.01244956
0.069053173,0.007359821,0.00771431,0.009058297
0.071525097,0.007231103,0.01054472,0.006162345
0.073989391,0.01087096,0.008771836,0.01377559
0.076457500,0.01036426,0.006799652,0.01187265
0.078926086,0.004090004,0.003358156,0.01348829
0.081394195,-0.002334857,0.009057865,0.01410896
0.083862304,0.0002059583,0.007676949,0.01693738
0.086330890,0.004390145,0.0007862737,0.005309939
0.088799000,0.004910024,0.005677953,0.009607077
0.091267109,0.00125988,0.00579175,0.01980388
0.093735695,0.006842138,-0.004523053,0.003823996
0.096207619,0.01256494,-0.004677617,0.0185951
0.098671436,-0.00319512,0.01011263,0.02182186
0.101140022,-0.02619377,0.02302565,0.006476223
0.103608131,-0.02619156,0.007866512,-0.003564954
0.106076240,-0.003939934,4.52213E-05,0.003118992
0.108544826,-0.008000929,0.01214944,0.04070723
0.111012935,-0.02995279,0.01149025,0.01961738
0.113481045,-0.01598039,-0.01602874,-0.02248925
0.115949631,0.01776297,-0.01086609,0.05939728
