Time (s),X (g),Y (g),Z (g)
0.006084919,-0.007505426,-0.000933243,0.01934175
0.008549213,-0.002060779,-0.0006613387,0.01969595
0.011013031,-0.001551235,0.001497631,0.01793414
0.013476849,-0.009535354,0.001183561,0.02202704
0.015941143,-0.01231062,0.003750531,0.01464165
0.018404961,-0.01025408,0.001556966,0.01665638
0.020868778,-0.007752552,-0.001064598,0.02014438
0.023337364,-0.005408784,-0.0008691883,0.01245157
0.025796890,-0.009585194,0.002457891,0.01700523
0.028260708,-0.005477885,-0.0019349,0.02103473
0.030725002,0.005743078,-0.004191467,0.01559722
0.033188820,-0.001845746,3.722007E-05,0.01549562
0.035652637,-0.004117219,-0.006509109,0.01589676
0.038116932,0.005947953,-0.008777197,0.02256877
0.040580749,-0.002819906,-0.004706272,0.01805061
0.043044567,0.002382025,-0.007851062,0.02082375
0.045508861,0.006463478,-0.006596742,0.02080721
0.047972679,0.01125222,-0.009618408,0.02470054
0.050436497,0.008670701,-0.009452468,0.01829188
0.052900791,-0.001011069,-0.009976787,0.01843541
0.055364609,0.005305963,-0.004458033,0.01720417
0.057828426,0.005442202,-0.005426479,0.01672193
0.060288429,0.0001059705,-0.004079745,0.01410416
0.062752723,-0.001683374,-0.009087158,0.02084073
0.065216541,0.003951201,0.0008758572,0.0178063
0.067680359,-0.002242837,-0.0001061929,0.02066431
0.070144653,0.008685829,0.003446443,0.01910742
0.072608471,-0.0004205997,0.01112493,0.01150279
0.075072288,0.002888008,0.004110868,0.009182688
0.077536583,0.003067886,0.001933282,0.02198411
0.080000400,-0.01129729,0.009495663,0.02764175
0.082464695,-0.003476982,0.01018762,0.01771027
0.084928512,0.00461587,0.00913825,0.008920327
0.087392330,-0.003938667,0.009203826,0.01445216
0.089856624,-0.01092403,0.01371802,0.009838765
0.092320442,0.001201054,0.001017058,0.01138067
0.094784260,-0.005402182,-0.009899544,0.03430153
0.097248554,-0.02082838,0.02132745,0.03266804
0.099712372,-0.04495776,0.04514189,0.01809486
0.102176189,-0.01796404,0.03547555,0.003793585
0.104640484,-0.02786346,0.04154118,-0.02699117
0.107104301,-0.04094046,0.005826942,0.02725448
0.109568119,-0.03736041,0.04827554,0.02194156
0.112032413,-0.004699054,0.01021426,0.0128019
0.114496231,-0.004356153,-0.05188917,0.06341763
0.116960048,-0.02105156,0.03374386,0.01599975
0.119424343,-0.02142266,-0.01869144,0.01800752
0.121888637,0.01626417,-0.04359378,0.02818095
0.124351978,-0.05771311,0.05512932,0.006995026
0.126816273,-0.02403637,0.02280345,-0.007123668
0.131743908,-0.04999386,0.03175766,0.02051102
0.131743908,-0.04999386,0.03175766,0.02051102
0.136672020,-0.02173955,-0.04485907,0.07124589
0.139135837,-0.007797206,0.008486517,0.03730967
0.141600132,-0.03032087,0.04171115,-0.01249114
0.144063949,0.004140082,-0.03426457,-0.008841598
0.146527767,0.003339248,-0.01308689,0.003965273
0.148996830,-0.0502056,0.03216448,0.02082494
0.151455879,0.006714292,-0.01661451,0.03452958
0.153920173,-0.01332013,-0.006597599,0.04098443
0.156383991,-0.008712935,0.05338584,-0.01788585
0.158849716,-0.00878612,-0.012318,0.00419684
0.161312103,-0.004651171,-0.01952974,0.01259141
0.163775921,-0.0311521,0.02563878,0.02406029
0.166239738,-0.02637611,-0.005488216,0.04491118
0.168704033,0.008928448,-0.01445918,0.01517589
0.171167850,-0.01981786,0.005968647,-0.001175174
0.173631668,0.00446204,5.544745E-06,-0.01022683
0.176095962,-0.01941518,-0.01798444,0.0347675
0.178559780,-0.01255568,0.0123734,0.03067415
0.181023598,-0.0306365,0.009554461,0.03733479
0.183487892,-0.01435472,0.005061536,0.01245781
0.185951710,-0.01849898,0.0140087,-0.01116141
0.188415527,-0.02467991,0.01532931,-0.007484972
0.190879822,-0.009794611,0.017193,0.01263421
0.193343639,-0.03670807,0.0203923,0.03552134
0.195807457,-0.01221462,0.00703179,0.03310993
0.198271751,-0.02537673,0.005768375,0.02115033
0.200735569,-0.008947752,0.012211,0.002289831
0.203199386,-0.009370283,0.003587511,0.001453919
0.205663681,-0.01596574,0.006348693,0.02390863
0.208127498,-0.0150999,0.02025656,0.02898088
0.210591316,-0.02231896,0.008047242,0.0347066
0.213055610,-0.01560525,0.007978311,0.01582489
0.215519428,-0.02233541,0.0144945,0.001991591
0.217983246,-0.01521968,0.01812669,-0.002128303
0.220447540,-0.01029443,0.008749471,0.01568956
0.222916126,-0.02209412,0.003839938,0.03471018
0.225375175,-0.01523686,0.00811446,0.02831439
0.227839470,-0.01962584,0.005056684,0.02167718
0.230303287,-0.002465386,0.001244556,0.005104999
0.232767582,-0.008828186,0.01065939,0.002300943
0.235231399,-0.008368406,0.006201332,0.02142901
0.237695217,-0.009014531,0.000445209,0.03355168
0.240159511,-0.02129924,0.004122884,0.03700934
0.242623329,-0.007251022,0.0173932,0.01062813
0.245087147,-0.01370736,0.01136149,0.00553451
0.247551441,-0.005086269,0.01258825,0.001793078
0.250015259,-0.0104712,0.01028662,0.02249883
0.252479076,-0.01226938,0.006648271,0.03101886
0.254943371,-0.006456669,0.003754116,0.03252181
0.257407188,-0.008862892,0.005102767,0.02288006
0.259869098,0.001905665,0.006162979,0.01014646
0.262331009,-0.009685523,0.005005909,0.009730784
0.264795303,-0.001670296,0.007409994,0.01731271
0.267259121,-0.01312545,0.006753993,0.03617901
0.269722938,-0.01127139,0.008534672,0.02814775
0.272187233,-0.01297123,0.008179044,0.02063474
0.274651050,-0.006222298,0.007892071,0.01261823
0.277114868,-0.007147745,0.009741215,0.007240951
0.279579162,-0.01614033,0.004288248,0.02262754
0.282042980,-0.01902907,0.007828025,0.02868061
0.284506798,-0.0115529,0.01125573,0.02960378
0.286971092,-0.01295008,0.003637247,0.02112739
0.289434910,-0.01003992,0.004027471,0.005358906
0.291898727,-0.0104815,0.009622443,0.01328328
0.294363022,-0.01440858,0.008387848,0.02334619
0.296826839,-0.01976502,0.001292319,0.02914351
0.299290657,-0.01878726,0.004209989,0.0285325
0.304218769,-0.01335944,0.008409778,0.006216084
0.306682587,-0.01345788,0.008928291,0.005727705
0.309146881,-0.01930085,0.007863725,0.02041627
0.311610699,-0.01554647,0.005187217,0.01504957
0.314074993,-0.01107217,0.0005046232,0.02882868
0.316538811,-0.01024973,0.004129165,0.01832915
0.319002628,-0.002790997,0.001690071,0.01294209
0.321466923,-0.00530716,-0.0002988219,0.01106853
0.323930740,-0.004401257,0.004990916,0.0209852
