Time (s),W,X,Y,Z
0.011013031,-0.3838606,-0.3625138,-0.8472232,0.008678955
0.030725002,-0.3838193,-0.3625227,-0.8472381,0.008681295
0.050436497,-0.3837754,-0.3624876,-0.8472725,0.008724106
0.070144653,-0.3838342,-0.3623976,-0.8472842,0.008742175
0.089856624,-0.384017,-0.3623531,-0.8472216,0.008628203
0.109568119,-0.3842763,-0.3625093,-0.8470398,0.008361781
0.129280090,-0.3843531,-0.3626776,-0.8469336,0.008291882
0.151455879,-0.3843405,-0.3629496,-0.8468238,0.008189891
0.171167850,-0.3842734,-0.3631044,-0.846788,0.00816659
0.190879822,-0.3842402,-0.3631548,-0.8467819,0.008133806
0.210591316,-0.3841325,-0.3632856,-0.8467752,0.008068926
0.230303287,-0.3839383,-0.3634007,-0.8468139,0.008082322
0.250015259,-0.3836951,-0.363445,-0.8469048,0.008117477
0.269722938,-0.3834153,-0.3634139,-0.8470438,0.008209009
0.289434910,-0.3831093,-0.3633632,-0.8472029,0.008322819
0.311610699,-0.3827525,-0.3632752,-0.8474005,0.008471894
0.331322670,-0.3823998,-0.3632033,-0.8475888,0.00865083
0.351034641,-0.3820368,-0.3631304,-0.8477817,0.008832072
0.370746136,-0.381677,-0.3630552,-0.8479745,0.008965394
0.390458107,-0.3812675,-0.3629791,-0.8481894,0.009152113
0.410170078,-0.380837,-0.3628889,-0.848419,0.009359017
0.429882049,-0.3803967,-0.3626563,-0.8487123,0.009681125
0.449593544,-0.3799912,-0.3624073,-0.8489966,0.009992256
0.469301700,-0.3796645,-0.362209,-0.8492243,0.01025417
0.491477489,-0.3793274,-0.3620204,-0.8494522,0.01051434
0.511189461,-0.3790436,-0.3618422,-0.8496513,0.01078806
0.530900955,-0.3788072,-0.361663,-0.8498294,0.01108249
0.550612926,-0.3786109,-0.3614397,-0.8500079,0.01136937
0.570324898,-0.3784634,-0.3612765,-0.8501422,0.01142823
0.590036869,-0.3783659,-0.3613234,-0.8501686,0.01121413
0.609748363,-0.3782212,-0.361532,-0.8501476,0.01096785
0.629460335,-0.3779432,-0.3617401,-0.8501842,0.01084221
0.649172306,-0.3774978,-0.3619199,-0.8503037,0.01098522
0.671344280,-0.3768939,-0.3619655,-0.8505456,0.01148596
0.691055775,-0.3763863,-0.3619294,-0.8507805,0.01185215
0.710770607,-0.375894,-0.3619444,-0.8509885,0.01208681
0.730479717,-0.3753465,-0.3620634,-0.8511771,0.01225874
0.750191688,-0.3747073,-0.3622215,-0.8513894,0.01239968
0.769903183,-0.3739963,-0.3623585,-0.8516409,0.01259241
0.789615154,-0.3732564,-0.362493,-0.851905,0.01280029
0.809327126,-0.372555,-0.3625928,-0.8521657,0.01305419
0.831502914,-0.3718157,-0.3624277,-0.8525519,0.01349416
0.851214886,-0.3712532,-0.3621309,-0.8529157,0.01395411
0.870922565,-0.3709073,-0.3618416,-0.853183,0.01431485
0.890634537,-0.3708813,-0.3615573,-0.8533115,0.01450672
