Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.266384601,98.46094,154.03125,4.051875,274.375,0
1.145436764,98.44922,153.28125,4.053125,308.4375,0
2.200534344,98.4375,153,4.053125,295.3125,0
3.255088329,98.42188,153,4.053125,331.25,0
4.134046554,98.41016,153.5625,4.053125,278.75,0
5.188854694,98.39844,153.65625,4.050625,294.6875,0
6.243660450,98.38672,153,4.050625,295,0
7.122718811,98.38672,153.09375,4.051875,284.375,0
9.232092380,98.36328,154.3125,4.049375,277.5,0
10.287443638,98.35156,154.21875,4.049375,292.8125,0
11.165852070,98.33984,154.125,4.05,281.25,0
12.220663547,98.32422,154.21875,4.05375,275,0
13.275597572,98.3125,154.40625,4.04875,285.625,0
14.154622555,98.30078,153.46875,4.049375,297.8125,0
15.209382534,98.28906,153.46875,4.049375,284.0625,0
16.264221191,98.27734,153.28125,4.054375,320,0
17.143194675,98.27734,153.65625,4.050625,275.3125,0
18.197950363,98.26563,153.5625,4.04875,274.375,0
19.252871513,98.25391,153.09375,4.0525,294.0625,0
20.131639957,98.24219,152.625,4.045625,288.75,0
21.186534405,98.22656,152.25,4.045625,375.625,0
22.241186142,98.21484,152.0625,4.041875,290.625,0
23.296133995,98.20313,151.21875,4.048125,299.6875,0
24.175115585,98.19141,151.40625,4.04875,268.125,0
25.229777813,98.19141,151.875,4.051875,274.0625,0
26.284590244,98.17969,152.15625,4.05,294.375,0
27.163770199,98.16797,152.25,4.0475,301.5625,0
28.218528747,98.15625,152.53125,4.0475,287.1875,0
29.273554325,98.14453,152.53125,4.050625,292.5,0
30.152292251,98.12891,152.4375,4.04375,316.875,0
31.207058430,98.11719,151.96875,4.04875,278.125,0
32.261901855,98.10547,151.59375,4.044375,295.3125,0
33.140782833,98.10547,151.3125,4.048125,302.1875,0
34.195560932,98.09375,151.5,4.04875,287.5,0
35.250351429,98.08203,151.40625,4.05,280.625,0
