Time (s),X (g),Y (g),Z (g)
0.000000000,-0.01268408,0.005383861,0.0307103
0.002481937,-0.01301547,0.007637599,0.02746132
0.004963875,-0.01789587,0.004940629,0.02763896
0.007445335,-0.01394319,0.002368043,0.02944837
0.009926796,-0.01305886,0.003619952,0.03254454
0.012408733,-0.01112177,0.005983686,0.03408831
0.014889717,-0.01116805,0.005832518,0.03453407
0.017372131,-0.01144833,-0.0008307286,0.03551761
0.019853115,-0.01294184,-0.00162186,0.03407942
0.022335052,-0.01308831,0.006988226,0.02766629
0.024816990,-0.01313667,0.01071415,0.02654531
0.027303695,-0.01445136,0.002764464,0.03259977
0.029780388,-0.007808132,0.004588985,0.02962708
0.032261848,-0.01186978,0.004100763,0.02917495
0.034743786,-0.01310452,0.004603869,0.03031139
0.037225246,-0.01312143,0.004790762,0.02679319
0.039707184,-0.009440851,0.00331486,0.0264547
0.042188644,-0.009858325,0.003261478,0.03050058
0.044670582,-0.008577614,0.001646775,0.03353553
0.047151565,-0.008925322,-0.001448054,0.0307739
0.049633503,-0.007978067,0.004718567,0.02040958
0.052114963,-0.01215058,0.002879475,0.02967136
0.054596901,-0.01165325,-0.0006157486,0.02937227
0.057078838,-0.01437002,0.001493834,0.02949595
0.059560299,-0.01180127,0.005068543,0.02694306
0.062042236,-0.009205615,0.004904186,0.02551094
0.064523697,-0.01076444,0.003063598,0.03289393
0.067005634,-0.013203,0.001967734,0.02770549
0.069487095,-0.01101279,0.007108374,0.02675921
0.071969032,-0.006241928,0.007853489,0.02991244
0.074450016,-0.004157215,0.008597451,0.02879997
0.076932430,-0.009460024,0.007625607,0.02092234
0.079413414,-0.01002214,0.007341871,0.03358188
0.081895351,-0.009276417,0.009042827,0.03429067
0.084376812,-0.009154436,0.01003117,0.02854183
0.086858749,-0.007505102,0.009409531,0.02687796
0.089340687,-0.004811212,0.01215231,0.02760516
0.091822147,-0.006775056,0.004602711,0.02610234
0.094304085,-0.01239929,0.006145837,0.02839474
0.096785545,-0.02039967,0.006753652,0.028125
0.099267483,-0.00921016,0.005394748,0.02575045
0.101748943,0.003843167,0.01236419,0.0246716
0.104230881,-0.005848245,0.007686339,0.03403588
0.106711864,-0.008160003,0.01173036,0.03802373
0.109194279,-0.004236131,0.007056694,0.0262273
0.111675262,0.007385175,-0.009355914,0.03904482
0.114160061,-0.01467684,0.004248513,0.03420945
0.116638660,-0.02639771,0.005112073,0.009227926
0.119120598,-0.006298442,-0.01918117,0.03437252
0.121602535,-0.0186488,-0.01421277,0.02731306
0.124083996,-0.03104787,0.02021012,0.01630702
0.126565933,-0.01410769,0.0004028399,0.0225179
0.129047394,-0.002934176,-0.0117399,0.04463938
0.131529331,-0.02579844,0.007150417,0.02389142
0.134010792,-0.02487383,0.00465265,0.02196476
0.136492729,-0.02174817,-0.003675381,0.05018187
0.138973713,-0.04599999,0.01899497,0.004199347
0.141455650,-0.01127355,0.003832524,0.01689606
0.143937111,0.004096929,-0.02280302,0.02700331
0.146419048,-0.0167682,0.02037776,0.02963149
0.148900509,-0.03028384,-0.0001822561,0.03313063
