Time (s),Humidity (%)
0.295319557,31.99121
1.295437336,31.52832
2.295555591,32.0918
3.295674801,31.87305
4.295795441,31.95898
5.293435573,32.21582
6.293558121,31.70117
7.293682098,31.5127
9.293931961,29.93066
10.294058800,28.68359
11.294186115,29.23633
12.294314861,29.46094
13.294444084,28.59375
14.294575214,29.14648
15.294707298,28.16406
16.294838428,28.97168
17.294971466,28.5918
18.295104980,27.80957
19.295239925,27.62109
20.295374870,28.08887
21.295512199,27.79395
22.295649052,27.96582
23.295786857,27.9248
24.293443680,27.91602
25.293583393,28.17188
26.293723583,28.10059
27.293864727,28.28223
28.294006824,27.78516
29.294149399,27.70215
30.294292927,27.69336
31.294436455,27.58984
32.294581890,27.31445
33.294727325,28.41895
34.294873714,27.51855
35.295020580,27.77539
