Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.295319557,25.158,29.188
1.295437336,25.218,29.196
2.295555591,25.244,29.204
3.295674801,25.258,29.21
4.295795441,25.282,29.218
5.293435573,25.34,29.224
6.293558121,25.428,29.234
7.293682098,25.414,29.24
9.293931961,25.512,29.254
10.294058800,25.544,29.26
11.294186115,25.556,29.266
12.294314861,25.598,29.272
13.294444084,25.686,29.278
14.294575214,25.658,29.284
15.294707298,25.666,29.29
16.294838428,25.756,29.298
17.294971466,25.77,29.304
18.295104980,25.804,29.31
19.295239925,25.834,29.316
20.295374870,25.858,29.322
21.295512199,25.85,29.328
22.295649052,25.936,29.334
23.293305397,25.964,29.34
24.293443680,25.956,29.346
25.293583393,26.022,29.352
26.293723583,26.004,29.358
27.293864727,26.054,29.362
28.294006824,26.096,29.368
29.294149399,26.106,29.374
30.294292927,26.142,29.38
31.294436455,26.174,29.386
32.294581890,26.172,29.39
33.294727325,26.184,29.396
34.294873714,26.214,29.4
35.295020580,26.218,29.404
