Time (s),Humidity (%)
0.989682674,31.52832
1.989293098,31.45801
2.988903999,31.71973
3.988515377,31.69141
4.988129616,31.4873
5.987742424,30.82422
6.989825726,30.91016
7.989440918,30.26758
8.989146233,29.41699
9.988772869,29.27344
10.988391876,29.88965
11.988011360,28.76855
12.990100384,29.31152
13.989721775,29.14648
14.989345074,29.41992
15.988967896,29.39063
16.988592625,29.41406
17.988217831,29.20801
18.987843990,28.7627
19.989939213,28.27441
20.989567757,29.32813
21.989198685,28.57031
22.988826275,28.93652
23.988479137,29.22949
24.988110065,29.23145
25.987742424,29.36914
26.989843845,29.56934
27.989477634,28.91504
28.989112377,28.90625
29.988748074,28.95996
30.988384247,29.02441
31.988020897,29.06738
32.987658501,28.81934
33.989765644,29.62305
34.989404678,28.65527
