Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.004883766,-0.1260054,0.2618175,0.0537139,-0.02087947,-0.002590505,1.011598,20.76009,13.30546,-40.72247,1028.317
0.007351875,-0.002836749,-0.03221852,-0.00754109,-0.02193088,-0.002650587,1.008738,20.76009,13.30546,-40.72247,1028.317
0.009819508,-0.125965,0.1441639,-0.06877685,-0.01905637,-0.00119129,1.007215,20.76009,13.30546,-40.72247,1028.317
0.012288570,-0.1874899,0.08532784,0.053721,-0.01560872,0.001303834,1.009524,20.76009,13.30546,-40.72247,1028.317
0.014756203,-0.1258665,0.1440918,0.1149422,-0.02088495,0.0003301725,1.01303,20.76009,13.30546,-40.72247,1028.317
0.017224312,-0.248956,0.261628,-0.007570103,-0.02146832,-0.005098756,1.00633,20.76009,13.30546,-40.72247,1028.317
0.019692898,-0.002619609,0.08517357,0.1149085,-0.02196258,-0.00218395,1.007774,20.76009,13.30546,-40.72247,1028.317
0.022161007,0.05894575,0.1439376,0.2373487,-0.02053684,-0.0002433956,1.007249,20.76009,13.30546,-40.72247,1028.318
0.024629116,-0.002637312,0.08510158,-0.00767839,-0.02190809,-0.001660911,1.010177,20.76009,13.30546,-40.72247,1028.318
0.027097702,-0.002636477,0.02628408,0.1148003,-0.02483345,-0.005590362,1.008342,20.76009,13.30546,-40.72247,1028.318
0.029565811,-0.002635643,0.08506659,0.1760023,-0.01954149,-0.003144277,1.006273,20.76009,13.30546,-40.72247,1028.318
0.032039165,0.1204943,0.2026214,0.1147089,-0.02146491,-0.003634389,1.007286,20.76009,13.30546,-40.72247,1028.318
0.034498214,-0.1258018,0.3201392,-0.007803366,-0.01445564,0.00404069,0.9988969,20.76009,13.30546,-40.72247,1028.318
0.036966324,-0.06419767,0.1436664,-0.007800907,-0.01710467,-0.00263218,1.006209,20.76009,13.30546,-40.72247,1028.318
0.039434433,-0.002612978,0.3199936,0.1759159,-0.01600219,-0.003513429,1.010516,20.76009,13.30546,-40.72247,1028.318
0.041903019,-0.1257413,0.08472999,0.2370988,-0.009255975,-0.004469279,1.006018,20.76009,13.30546,-40.72247,1028.318
0.044371128,0.05899188,0.1434941,0.1757861,-0.01363741,-0.004023237,1.00709,20.76009,13.30546,-40.72247,1028.318
0.046838760,0.05897334,-0.03292322,0.1757309,-0.01414398,-0.001116486,1.008053,20.76009,13.30546,-40.72247,1028.318
0.049307823,-0.1257388,-0.03291288,0.1756757,-0.01141377,0.001710491,1.001717,20.76009,13.30546,-40.72247,1028.318
0.051775455,-0.06413475,0.2610513,0.2368586,-0.007280143,0.0009289123,1.009796,20.76009,13.30546,-40.72247,1028.318
0.054243564,0.120579,0.2021785,0.1755461,-0.016519,-0.004999781,1.00861,20.74529,13.65291,-41.51044,1028.318
0.056712150,-0.002587944,-0.03304808,0.1142528,-0.01608812,-0.006981315,1.005239,20.74529,13.65291,-41.51044,1028.318
0.059180259,-0.06415166,0.08454383,0.2366932,-0.01427598,0.0002592523,1.00372,20.74529,13.65291,-41.51044,1028.318
0.061648369,-0.002566963,0.02572651,0.2366188,-0.01319971,-0.003076037,1.005631,20.74529,13.65291,-41.51044,1028.316
