Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.989682674,25.978,29.228
1.989293098,25.968,29.236
2.988903999,26.028,29.242
3.988515377,26.044,29.25
4.988129616,26.12,29.258
5.987742424,26.156,29.266
6.989825726,26.15,29.274
7.989440918,26.2,29.28
8.989146233,26.266,29.286
9.988772869,26.258,29.294
10.988391876,26.274,29.302
11.988011360,26.288,29.308
12.990100384,26.386,29.314
13.989721775,26.374,29.32
14.989345074,26.426,29.328
15.988967896,26.448,29.334
16.988592625,26.502,29.342
17.988217831,26.548,29.348
18.987843990,26.584,29.354
19.989939213,26.6,29.36
20.989567757,26.626,29.366
21.989198685,26.702,29.372
22.988826275,26.724,29.378
23.988479137,26.73,29.384
24.988110065,26.762,29.388
25.987742424,26.782,29.394
26.987375736,26.824,29.402
27.989477634,26.83,29.408
28.989112377,26.838,29.412
29.988748074,26.902,29.418
30.988384247,26.944,29.424
31.988020897,26.928,29.43
32.987658501,26.99,29.436
33.987297058,27.062,29.44
34.989404678,27.08,29.444
