Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.158549785,98.50781,167.34375,4.055625,289.375,0
1.213360786,98.50781,167.0625,4.0475,285.3125,0
2.268385887,98.49609,167.25,4.055,269.0625,0
3.323138237,98.48438,166.6875,4.05375,264.6875,0
4.202194691,98.47266,167.34375,4.05625,271.25,0
5.256911754,98.46094,167.625,4.05375,273.4375,0
6.311782837,98.46094,167.8125,4.055,290.625,0
7.190938473,98.44922,167.4375,4.051875,288.4375,0
8.245785713,98.4375,167.25,4.05375,290.625,0
9.300864696,98.42188,167.0625,4.051875,283.75,0
10.179801941,98.41016,167.25,4.051875,290.3125,0
11.234268188,98.41016,167.34375,4.05125,264.6875,0
12.289338112,98.39844,167.25,4.04625,279.0625,0
13.167985916,98.38672,167.34375,4.0525,298.4375,0
14.222769260,98.375,166.6875,4.050625,275.9375,0
15.277573585,98.36328,166.78125,4.051875,283.75,0
16.332328796,98.35156,166.5,4.051875,289.0625,0
17.211655617,98.35156,166.6875,4.050625,298.125,0
18.266158581,98.33984,165.46875,4.05375,265.9375,0
19.320838928,98.32422,166.5,4.05375,334.0625,0
20.199662208,98.3125,166.59375,4.051875,275,0
21.254456997,98.30078,166.6875,4.049375,303.125,0
22.309551239,98.30078,166.59375,4.0525,292.1875,0
23.188179016,98.28906,166.40625,4.05125,290.9375,0
24.242950439,98.27734,166.40625,4.051875,287.1875,0
25.297742843,98.26563,165.84375,4.050625,293.4375,0
26.177028656,98.26563,165.84375,4.0525,331.25,0
27.231869221,98.25391,166.59375,4.051875,269.375,0
28.286261558,98.24219,166.6875,4.0525,284.375,0
29.165392399,98.22656,166.875,4.051875,279.375,0
30.219992637,98.21484,166.96875,4.049375,282.1875,0
31.275074959,98.20313,166.40625,4.033125,328.75,0
32.329635143,98.20313,165.46875,4.05,323.125,0
33.208559513,98.19141,165.5625,4.043125,271.5625,0
34.263524532,98.17969,165.1875,4.04875,265.625,0
