Time (s),X (g),Y (g),Z (g)
0.006084919,0.01521277,-0.01097345,-0.008972466
0.008549213,0.01320732,-0.007538348,-0.01273447
0.011013031,0.0131973,-0.005107641,-0.0112552
0.013476849,0.01916742,-0.01143691,-0.008975923
0.015941143,0.01723433,-0.009065658,-0.001253724
0.018404961,0.01625246,-0.01002333,-0.004609883
0.020868778,0.01575679,-0.01145819,-0.009412885
0.023337364,0.009879529,-0.007617146,-0.005468309
0.025796890,0.01674634,-0.009047747,-0.005059302
0.028260708,0.01478142,-0.01097041,-0.01176935
0.030725002,0.004903555,-0.004167914,-0.01590687
0.033188820,0.01083791,-0.005654454,-0.009725332
0.035652637,0.007999301,-0.01201883,-0.0102424
0.038116932,0.006438315,-0.009490162,-0.02217883
0.040580749,0.009945154,-0.01051942,-0.0121423
0.043044567,0.007467031,-0.01047727,-0.01835477
0.045508861,0.00643903,-0.00704059,-0.02069771
0.047972679,0.004942954,-0.007489473,-0.02739745
0.050436497,0.00205183,-0.007066876,-0.02112609
0.052900791,0.006092668,-0.01343253,-0.01499504
0.055364609,0.005964637,-0.005106717,-0.01682544
0.057828426,0.004986823,-0.005600035,-0.01682967
0.060288429,0.006498814,-0.007103056,-0.01111287
0.062752723,0.008500338,-0.01389205,-0.01601636
0.065216541,0.01029307,-0.00215888,-0.01495177
0.067680359,0.01425928,-0.007522434,-0.01315361
0.070144653,0.01065183,0.002266794,-0.01830828
0.072608471,0.01457602,0.004615098,-0.004915178
0.075072288,0.007225096,0.002122045,-0.007303834
0.077536583,0.01404494,-0.003141999,-0.01704103
0.080000400,0.0287779,-0.007996827,-0.009585977
0.082464695,0.01934689,0.0002251565,-0.007533073
0.084928512,0.009441733,0.006987125,-0.006926894
0.087392330,0.01683217,0.000169754,-0.005185366
0.089856624,0.01976418,0.0005927086,0.003865004
0.092320442,0.007455111,-0.001850933,-0.008560061
0.094784260,0.01833826,-0.02072421,-0.02328402
0.097248554,0.04364258,-0.006533116,-0.003723204
0.099712372,0.05978584,0.0006213188,0.02875656
0.102176189,0.03258252,0.01418903,0.01853156
0.104640484,0.02085418,0.02165154,0.04839534
0.107104301,0.03931373,-0.02877337,0.009257734
0.109568119,0.06087023,0.006452888,0.02189618
0.112032413,0.0167383,0.0009359121,-0.003236532
0.114496231,0.01041377,-0.05975807,-0.05564433
0.116960048,0.04074365,0.007414192,0.01150638
0.119424343,0.00937742,-0.03227937,-0.003558934
0.121888637,-0.01625472,-0.03062269,-0.04214782
0.124351978,0.06447059,0.003425062,0.04767239
0.126816273,0.02026379,0.004253566,0.02690029
0.129280090,-0.00864023,0.002199501,0.01369387
0.131743908,0.05516273,-0.01314899,0.02686393
0.134208202,0.05700338,-0.01357061,0.01577854
0.136672020,0.02752674,-0.06749606,-0.04787648
0.139135837,0.03286034,-0.00944823,-0.01894802
0.144063949,-0.02899897,-0.02025151,-0.005582333
0.146527767,-0.007105529,-0.008811086,-0.008470893
0.148996830,0.05570596,-0.01309988,0.0268907
0.151455879,0.008951068,-0.01832381,-0.0332039
0.153920173,0.02821463,-0.02509597,-0.02191311
0.156383991,0.02571952,0.03944921,0.03254229
0.158849716,-0.001137733,-0.01575089,-0.0004520416
0.161312103,-0.002052069,-0.0210188,-0.0110141
0.163775921,0.04532129,-0.007198066,0.01032948
0.166239738,0.03718895,-0.03344372,-0.01580268
0.168704033,-0.00318414,-0.009682089,-0.02043009
0.171167850,0.01170206,-0.007403851,0.01545697
0.173631668,-0.008567631,0.005746424,0.004284918
0.176095962,0.01973623,-0.03544959,-0.01654571
0.178559780,0.03309727,-0.007550418,-0.01010692
0.181023598,0.04359174,-0.02269644,-0.003659368
0.183487892,0.01753807,-0.00872317,0.001995742
0.185951710,0.009708762,0.002291977,0.02377433
0.188415527,0.0156312,-0.001606286,0.02559727
0.190879822,0.02324754,0.003008544,0.002093971
0.193343639,0.05188143,-0.01787245,0.004495025
0.195807457,0.03117251,-0.01201394,-0.01347053
0.198271751,0.02844435,-0.01752609,0.003296316
0.200735569,0.01306993,0.00287205,0.007516325
0.203199386,0.007310629,-0.003527522,0.006091356
0.205663681,0.02644849,-0.01212558,-0.004692078
0.208127498,0.03806216,-0.00278452,-0.005146384
0.210591316,0.0372833,-0.01794007,-0.007688344
0.213055610,0.0220896,-0.008325517,0.001210034
0.215519428,0.02020139,-0.003577918,0.01713729
0.217983246,0.01668674,0.004691392,0.01633221
0.220447540,0.02014828,-0.004452378,-0.001985133
0.222916126,0.03454542,-0.0209201,-0.008967102
0.225375175,0.0300768,-0.01166561,-0.007824242
0.227839470,0.02580476,-0.01468009,-0.001064539
0.230303287,0.005161464,-0.002092004,-0.001654744
0.232767582,0.01205611,0.001788467,0.007011294
0.235231399,0.02140599,-0.006840914,-0.007991374
0.237695217,0.02590466,-0.01505527,-0.01766366
0.240159511,0.03585088,-0.02089885,-0.01105654
0.242623329,0.02096111,0.005299002,0.00187552
0.245087147,0.01673418,-0.00164032,0.008115649
0.247551441,0.01129299,0.005664587,0.005418837
0.250015259,0.02558178,-0.005423397,-0.006289601
0.252479076,0.0295881,-0.01172107,-0.01209879
0.254943371,0.02618021,-0.01073021,-0.01775187
0.257407188,0.02186537,-0.008383393,-0.008998394
0.259869098,0.009571254,0.002757072,-0.006790221
0.262331009,0.01368511,-0.005103678,0.0008106232
0.264795303,0.01655012,-0.0006198287,-0.009179652
0.267259121,0.03335392,-0.01368019,-0.01517308
0.269722938,0.02847427,-0.008866489,-0.01024055
0.272187233,0.02415603,-0.007970989,-0.003906608
0.274651050,0.01583081,-0.001683444,-0.00274688
0.277114868,0.01393259,0.0006935,0.002153575
0.279579162,0.02439696,-0.01338235,-0.004272819
0.282042980,0.03179371,-0.0143123,-0.005723298
0.284506798,0.03123957,-0.007449418,-0.01038033
0.286971092,0.02161282,-0.01146254,-0.005485058
0.289434910,0.0104124,-0.004761398,0.003865182
0.291898727,0.01922405,-0.00321418,2.640486E-05
0.294363022,0.02666628,-0.009491801,-0.00484699
0.296826839,0.02831382,-0.01973599,-0.007314324
0.299290657,0.02931899,-0.01679531,-0.00675422
0.301754951,0.01944798,-0.0036771,-0.005018234
0.304218769,0.0151844,-0.003806382,0.006589532
0.306682587,0.01523954,-0.003339469,0.00713557
0.311610699,0.01981759,-0.01012552,0.0009126067
0.314074993,0.0237698,-0.01488152,-0.01302183
0.316538811,0.01892191,-0.008614808,-0.005169094
0.319002628,0.01062417,-0.00425756,-0.006891847
0.321466923,0.009282827,-0.006727219,-0.004439652
0.323930740,0.01858211,-0.005160302,-0.01066661
0.326394558,0.0241462,-0.01104811,-0.003525794
0.328858852,0.0226692,-0.009518772,-0.01302356
0.331322670,0.01887578,-0.01007351,-0.007175922
0.333786487,0.01347548,-0.0003758967,-0.002153814
0.336250782,0.01410502,-0.006227493,-0.00407207
0.338714599,0.01620436,-0.01111376,-0.00311619
0.341178417,0.0231843,-0.01643351,-0.004605293
0.343642711,0.02028334,-0.0115878,-0.001101434
0.346106529,0.0188207,-0.01006952,-0.008680582
0.348570347,0.007661104,-0.01060492,-0.01090962
0.351034641,0.01603812,-0.004307657,0.002583027
0.353498459,0.02102244,-0.01105127,-0.007062614
0.355962276,0.02450973,-0.01151416,-0.008945227
0.358426571,0.02208537,-0.006187856,-0.005440593
0.360890388,0.02310157,-0.003271163,-0.003435016
0.363354206,0.02023387,5.784631E-05,0.00483799
0.365818500,0.01490515,-0.001407474,-0.001775563
0.368282318,0.01935881,-0.002334088,-0.007022619
0.370746136,0.02196205,-0.008683592,-0.007041991
0.373210430,0.02257782,-0.01402071,-0.01134831
0.375674248,0.02065635,-0.007238597,-0.00494355
0.378138065,0.02023053,-0.004825473,-0.001962423
0.380602360,0.01246566,-0.004375249,-0.004691303
0.383067608,0.01745409,-0.007732511,-0.009486735
0.385530472,0.024014,-0.01601979,-0.007163048
0.387994289,0.02542579,-0.009108752,-0.01516861
0.390458107,0.01857722,8.72016E-05,-0.01012802
0.392922401,0.0143882,-0.005877912,-0.001928687
0.395386219,0.01835579,-0.004397124,-0.001870871
0.397850036,0.0203945,-0.005360126,-0.003260732
0.400314331,0.02200121,-0.01311305,-0.01095623
0.402778149,0.01616472,-0.008255243,-0.01124537
0.405241966,0.01034021,-0.00197199,-0.006720245
0.407706261,0.007500589,-0.002470911,-0.008052111
0.410170078,0.01058149,-0.005892992,-0.006113172
