Time (s),Power (dBm),Percentage (%)
0.333113193,-62,76
0.833070755,-63,74
1.333285808,-63,74
1.832949161,-61,78
2.333512783,-62,76
2.833312988,-61,78
3.333474636,-63,74
3.833275795,-63,74
4.333437919,-63,74
4.833182812,-62,76
5.333372593,-61,78
5.833176136,-57,86
6.333377838,-59,82
6.833254337,-60,80
7.333670139,-55,90
7.833552360,-60,80
8.333687782,-60,80
8.833374500,-59,82
9.333505154,-57,86
9.833282471,-59,82
10.333457947,-59,82
10.833187580,-55,90
11.333405495,-59,82
12.333412647,-59,82
12.833276749,-59,82
13.333389759,-61,78
13.833299637,-65,70
14.333411217,-60,80
14.833145618,-51,98
15.333248615,-64,72
15.833115101,-59,82
16.333244800,-59,82
16.833132267,-65,70
17.333346844,-59,82
17.833171844,-62,76
18.333297252,-57,86
18.833079815,-62,76
19.333100796,-66,68
19.833083153,-53,94
20.333323479,-65,70
20.832971096,-62,76
21.333086014,-61,78
21.832923412,-65,70
22.333051205,-64,72
22.833037853,-62,76
23.333149910,-65,70
23.833012104,-65,70
24.333132744,-65,70
24.832897663,-67,66
25.333066463,-69,62
25.832923412,-63,74
26.333192825,-62,76
26.832825184,-65,70
27.333055973,-65,70
27.832860470,-67,66
28.332957744,-67,66
28.832738876,-63,74
29.332883835,-65,70
29.832726479,-67,66
30.332859516,-67,66
30.832660198,-67,66
31.332801342,-67,66
31.832802772,-60,80
32.332996845,-59,82
32.832642078,-62,76
33.332863331,-64,72
33.832698822,-62,76
34.332779884,-62,76
34.832626343,-63,74
