Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.006084919,0.009493358,-0.4433837,-0.1392388,0.6593832,-0.3039967,-0.7140916,-34.76969,24.21368,15.52793,1029.031
0.008549213,-0.05211511,-0.7387494,-0.2003114,0.657358,-0.3005571,-0.7178736,-34.76969,24.21368,15.52793,1029.031
0.011013031,0.07110181,-0.56153,-0.1392388,0.657336,-0.2981231,-0.7164067,-34.76969,24.21368,15.52793,1029.031
0.013476849,0.1943187,-0.5024568,-0.1392388,0.6632997,-0.3044592,-0.7141305,-34.76969,24.21368,15.52793,1029.036
0.015941143,0.07110181,-0.56153,-0.2003114,0.6613646,-0.3020867,-0.7064107,-34.76969,24.21368,15.52793,1029.036
0.018404961,0.009493358,-0.5024568,-0.1392388,0.6603771,-0.3030454,-0.7097715,-34.76969,24.21368,15.52793,1029.036
0.020868778,-0.1137236,-0.3843106,-0.2003114,0.659875,-0.3044788,-0.714581,-34.76969,24.21368,15.52793,1029.036
0.023337364,-0.05211511,-0.56153,-0.2003114,0.6539849,-0.3006361,-0.7106488,-34.76969,24.21368,15.52793,1029.036
0.025796890,-0.1137236,-0.4433837,-0.2003114,0.66085,-0.3020603,-0.7102442,-34.76969,24.21368,15.52793,1029.036
0.028260708,-0.175332,-0.4433837,-0.261384,0.658875,-0.3039778,-0.7169656,-34.76969,24.21368,15.52793,1029.036
0.030725002,-0.05211511,-0.3843106,-0.4446018,0.6489819,-0.2971645,-0.7211217,-34.76969,24.21368,15.52793,1029.036
0.033188820,-0.1137236,-0.4433837,-0.3224566,0.6549081,-0.2986399,-0.7149523,-34.76969,24.21368,15.52793,1029.036
0.035652637,0.009493358,-0.3252375,-0.2003114,0.6520544,-0.3050136,-0.7154792,-34.76969,24.21368,15.52793,1029.036
0.038116932,0.009493358,-0.2070912,-0.3835292,0.6504759,-0.3024856,-0.7274315,-34.76969,24.21368,15.52793,1029.036
0.040580749,0.009493358,-0.08894497,-0.261384,0.6539777,-0.3035183,-0.717398,-34.76969,24.21368,15.52793,1029.036
0.043044567,0.1327103,0.08827442,-0.2003114,0.6514918,-0.3034867,-0.7236133,-34.76969,24.21368,15.52793,1029.036
0.045508861,0.009493358,0.0292013,-0.2003114,0.650454,-0.3000516,-0.7259646,-34.76969,24.21368,15.52793,1029.036
0.047972679,0.009493358,0.2064207,-0.3835292,0.6489488,-0.3004987,-0.7326735,-34.76969,24.21368,15.52793,1029.036
0.050436497,0.07110181,0.2654938,-0.3835292,0.6460518,-0.3000779,-0.7264068,-34.76969,24.21368,15.52793,1029.036
0.052900791,0.07110181,0.1473476,-0.261384,0.6500861,-0.3064569,-0.7202762,-34.76969,24.21368,15.52793,1029.036
0.055364609,0.1943187,0.3836401,-0.4446018,0.6499657,-0.2981285,-0.7221006,-34.76969,24.21368,15.52793,1029.034
0.057828426,0.1943187,0.4427132,-0.3224566,0.6489944,-0.2986242,-0.7220978,-34.77005,23.84646,15.14643,1029.034
0.060288429,0.07110181,0.4427132,-0.3835292,0.6505185,-0.3001258,-0.7163705,-34.77005,23.84646,15.14643,1029.034
0.062752723,0.07110181,0.5608594,-0.4446018,0.6525298,-0.3069219,-0.721262,-34.77005,23.84646,15.14643,1029.034
0.065216541,0.1327103,0.4427132,-0.3224566,0.6543396,-0.2951792,-0.7201859,-34.77005,23.84646,15.14643,1029.034
0.067680359,0.3175357,0.7380788,-0.261384,0.6583323,-0.3005468,-0.7183616,-34.77005,23.84646,15.14643,1029.034
0.070144653,0.1943187,0.7380788,-0.0781662,0.6547489,-0.2907486,-0.7234981,-34.77005,23.84646,15.14643,1029.034
0.072608471,0.1327103,0.8562251,-0.1392388,0.6587179,-0.2883807,-0.710072,-34.77005,23.84646,15.14643,1029.034
0.075072288,0.07110181,0.8562251,-0.3224566,0.6514016,-0.2908572,-0.7124357,-34.77005,23.84646,15.14643,1029.034
0.077536583,0.1943187,0.7971519,-0.2003114,0.6582496,-0.2961158,-0.7221493,-34.77005,23.84646,15.14643,1029.034
0.080000400,0.1943187,0.7971519,-0.0781662,0.6730278,-0.3009656,-0.7146548,-34.77005,23.84646,15.14643,1029.034
0.082464695,0.2559272,0.9743713,-0.2003114,0.6636463,-0.2927302,-0.7125622,-34.77005,23.84646,15.14643,1029.034
0.084928512,0.3175357,1.033445,-0.1392388,0.6537855,-0.285954,-0.7119212,-34.77005,23.84646,15.14643,1029.034
0.087392330,0.4407526,0.7971519,-0.2003114,0.6612186,-0.2927654,-0.7101429,-34.77005,23.84646,15.14643,1029.034
0.089856624,0.5023611,0.7380788,-0.5056744,0.6642063,-0.2923268,-0.701048,-34.77005,23.84646,15.14643,1029.034
0.092320442,-0.05211511,1.092518,-0.261384,0.6519345,-0.2947587,-0.7134436,-34.77005,23.84646,15.14643,1029.034
0.094784260,0.07110181,0.9152982,-0.3224566,0.6628375,-0.3136465,-0.7281433,-34.77005,23.84646,15.14643,1029.033
0.097248554,0.4407526,0.5608594,-0.0781662,0.6882029,-0.2994435,-0.7085314,-34.77005,23.84646,15.14643,1029.033
0.099712372,0.07110181,0.6790057,0.349342,0.7044571,-0.2922504,-0.6759658,-34.77005,23.84646,15.14643,1029.033
0.102176189,0.3791441,0.5017864,0.5936324,0.6773261,-0.278659,-0.6861342,-34.77005,23.84646,15.14643,1029.033
0.104640484,-0.2985489,0.6790057,0.5325598,0.6656943,-0.2711444,-0.6562034,-34.77005,23.84646,15.14643,1029.033
0.107104301,-0.6681997,0.0292013,0.5936324,0.6841788,-0.3215838,-0.6953121,-34.46324,24.20878,15.97335,1029.033
0.109568119,0.3791441,-0.7387494,0.4714872,0.7058024,-0.2863201,-0.6826275,-34.46324,24.20878,15.97335,1029.033
0.112032413,-0.9146336,0.8562251,0.2882694,0.6617109,-0.2918025,-0.7077374,-34.46324,24.20878,15.97335,1029.033
0.114496231,-0.6681997,0.0292013,0.349342,0.6553102,-0.3525775,-0.7601815,-34.46324,24.20878,15.97335,1029.033
0.116960048,0.9336203,-0.6796762,0.349342,0.6856788,-0.285397,-0.6929987,-34.46324,24.20878,15.97335,1029.033
0.119424343,-0.9146336,0.7971519,-0.0781662,0.6543205,-0.3251099,-0.7080485,-34.46324,24.20878,15.97335,1029.033
0.121888637,0.07110181,0.2064207,-0.1392388,0.6286238,-0.3235155,-0.7466708,-34.46324,24.20878,15.97335,1029.033
0.124351978,0.6871864,-1.034115,0.2271968,0.7094359,-0.2894314,-0.656786,-34.46324,24.20878,15.97335,1029.033
0.126816273,0.07110181,0.5608594,0.349342,0.6652912,-0.2885897,-0.6775063,-34.46324,24.20878,15.97335,1029.033
0.129280090,-0.5449828,0.08827442,0.2882694,0.6363883,-0.2906384,-0.690714,-34.46324,24.20878,15.97335,1029.033
0.131743908,-0.2985489,-1.329481,0.2882694,0.7002255,-0.3059622,-0.6775229,-34.46324,24.20878,15.97335,1029.033
0.134208202,-0.8530251,-0.5024568,0.654705,0.7021127,-0.3063526,-0.6885784,-34.46324,24.20878,15.97335,1029.035
0.136672020,-1.653935,0.1473476,1.021141,0.6725735,-0.3603485,-0.7522616,-34.46324,24.20878,15.97335,1029.035
0.139135837,0.3175357,-1.093188,1.143286,0.6778765,-0.3023326,-0.7233479,-34.46324,24.20878,15.97335,1029.035
0.141600132,-0.4833744,-0.6206031,0.960068,0.6764684,-0.2768765,-0.6645169,-34.46324,24.20878,15.97335,1029.035
0.146527767,-0.1137236,-1.329481,0.1050516,0.6378518,-0.3017055,-0.7129207,-34.46324,24.20878,15.97335,1029.035
0.148996830,-0.2369405,-0.9750419,-0.1392388,0.7007142,-0.3059588,-0.6775271,-34.46324,24.20878,15.97335,1029.035
0.151455879,-0.3601574,0.2654938,-0.3224566,0.6539434,-0.311187,-0.7376345,-34.46324,24.20878,15.97335,1029.035
0.153920173,0.3175357,-1.034115,0.1050516,0.6731718,-0.3179927,-0.7263622,-34.46324,24.20878,15.97335,1029.035
0.156383991,0.5023611,-0.7978225,0.349342,0.6707367,-0.2533802,-0.6718795,-34.09669,23.46843,15.52904,1029.035
0.158849716,-1.284284,-0.08894497,0.1661242,0.6438605,-0.308575,-0.7048936,-34.09669,23.46843,15.52904,1029.035
0.161312103,-0.6681997,-0.9750419,0.654705,0.6428815,-0.3138795,-0.7154999,-34.09669,23.46843,15.52904,1029.035
0.163775921,-0.8530251,-1.329481,0.7768502,0.6902611,-0.3000305,-0.6941624,-34.09669,23.46843,15.52904,1029.035
0.166239738,-1.222676,-0.08894497,0.960068,0.6821192,-0.3262945,-0.7202955,-34.09669,23.46843,15.52904,1029.035
0.168704033,-0.3601574,-0.5024568,0.8379228,0.6416939,-0.3025641,-0.7249579,-34.09669,23.46843,15.52904,1029.035
0.171167850,-0.2369405,-0.8568956,0.5325598,0.6565677,-0.3002973,-0.6890774,-34.09669,23.46843,15.52904,1029.035
0.173631668,-0.2985489,-0.4433837,0.2271968,0.6362796,-0.287141,-0.7002692,-34.09669,23.46843,15.52904,1029.038
0.176095962,-0.4217659,-0.9159687,-0.261384,0.664542,-0.3283631,-0.721127,-34.09669,23.46843,15.52904,1029.038
0.178559780,0.3791441,-0.9159687,-0.6888922,0.6779093,-0.3004433,-0.714691,-34.09669,23.46843,15.52904,1029.038
0.181023598,-0.1137236,-0.7387494,-0.2003114,0.6884148,-0.3155853,-0.708235,-34.09669,23.46843,15.52904,1029.038
0.183487892,0.2559272,-0.5024568,-0.0170936,0.6623616,-0.3016206,-0.7025759,-34.09669,23.46843,15.52904,1029.038
0.185951710,0.009493358,-0.7978225,-0.0170936,0.6545408,-0.2905931,-0.6807946,-34.09669,23.46843,15.52904,1029.038
0.188415527,-0.2985489,-0.9159687,0.2882694,0.6604697,-0.2944803,-0.6789703,-34.09669,23.46843,15.52904,1029.038
0.190879822,-0.3601574,-1.211334,0.4714872,0.6680751,-0.2898439,-0.7024927,-34.09669,23.46843,15.52904,1029.038
0.193343639,-0.9762421,-1.211334,0.5936324,0.6967156,-0.3107015,-0.7000954,-34.09669,23.46843,15.52904,1029.038
0.195807457,-0.7914166,-0.9159687,0.5936324,0.6759885,-0.3048319,-0.7180822,-34.09669,23.46843,15.52904,1029.038
0.198271751,-0.4217659,-1.152261,0.7768502,0.6732383,-0.3103611,-0.7013286,-34.09669,23.46843,15.52904,1029.038
0.200735569,-0.3601574,-1.093188,0.654705,0.6578463,-0.2899546,-0.6971282,-34.09669,23.46843,15.52904,1029.038
0.203199386,-0.6065912,-1.388554,0.1661242,0.6520535,-0.2963409,-0.6985895,-34.09669,23.46843,15.52904,1029.038
0.205663681,-0.1137236,-1.742993,-0.1392388,0.6711588,-0.304932,-0.7094058,-34.09669,23.46843,15.52904,1029.038
0.208127498,-0.1137236,-1.565773,-0.2003114,0.6827661,-0.2955568,-0.7098801,-34.46458,23.84153,15.14752,1029.038
0.210591316,-0.2369405,-1.447627,-0.0781662,0.6819685,-0.3107049,-0.7124425,-34.46458,23.84153,15.14752,1029.038
0.213055610,0.07110181,-1.5067,0.1661242,0.6667479,-0.3010942,-0.7035673,-34.46458,23.84153,15.14752,1029.038
0.215519428,-0.05211511,-1.861139,0.1661242,0.6648359,-0.2963396,-0.6876647,-34.46458,23.84153,15.14752,1029.034
0.217983246,-0.4217659,-1.802066,0.2271968,0.6613005,-0.288042,-0.6885006,-34.46458,23.84153,15.14752,1029.034
0.220447540,-0.5449828,-1.920212,0.2882694,0.6647195,-0.2971693,-0.7068641,-34.46458,23.84153,15.14752,1029.034
0.222916126,-0.5449828,-2.038358,0.654705,0.679064,-0.3136479,-0.7138899,-34.46458,23.84153,15.14752,1029.034
0.225375175,-0.4833744,-1.861139,0.654705,0.6745512,-0.3043937,-0.7127874,-34.46458,23.84153,15.14752,1029.034
0.227839470,-0.6681997,-1.802066,0.5936324,0.6702354,-0.3074098,-0.7060673,-34.46458,23.84153,15.14752,1029.034
0.230303287,-0.175332,-1.802066,0.4104146,0.6495358,-0.2948273,-0.7067069,-34.46458,23.84153,15.14752,1029.034
