Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.331322670,25.284,29.224
1.331679344,25.336,29.232
2.329971790,25.418,29.238
3.330331325,25.39,29.246
4.330691337,25.41,29.252
5.331053734,25.486,29.26
6.331482410,25.544,29.266
7.331964493,25.566,29.272
8.329864025,25.57,29.278
9.330228805,25.588,29.284
10.330599308,25.598,29.29
11.330962658,25.654,29.294
12.331327438,25.72,29.3
13.331694603,25.682,29.304
14.329599380,25.732,29.308
15.329968452,25.79,29.314
16.330338478,25.798,29.318
17.330709457,25.816,29.324
18.331080437,25.852,29.328
19.331452846,25.844,29.334
20.331825256,25.866,29.34
21.329734802,25.946,29.344
22.330109119,25.95,29.35
23.330483913,25.944,29.354
24.330859184,25.978,29.36
25.331235885,26.014,29.364
26.331612587,26.056,29.37
27.329526424,26.058,29.374
28.329905510,26.116,29.38
29.330284118,26.132,29.384
30.330664158,26.148,29.39
31.331044674,26.184,29.396
32.331426143,26.23,29.4
33.329344749,26.226,29.406
34.329725742,26.262,29.412
