Time (s),X (g),Y (g),Z (g)
0.000000000,-0.01853719,0.006319553,0.02765352
0.002481937,-0.019541,0.006779611,0.02381665
0.004963875,-0.02200326,0.001932353,0.02521318
0.007445335,-0.01763101,0.002913088,0.02761108
0.009926796,-0.01814398,0.005359083,0.03002793
0.012408733,-0.01817244,0.008766025,0.03053194
0.014889717,-0.01819812,0.008767158,0.03100783
0.017372131,-0.01480047,0.003919214,0.03431773
0.019853115,-0.01532164,0.001986116,0.03333032
0.022335052,-0.01925988,0.006313831,0.02424902
0.024816990,-0.02122985,0.008721679,0.02187353
0.027303695,-0.0187929,0.003912151,0.03046471
0.029780388,-0.01393171,0.008256614,0.02665335
0.032261848,-0.01687858,0.005348146,0.02662766
0.034743786,-0.0183586,0.005357653,0.02758604
0.037225246,-0.01788753,0.004368007,0.02421355
0.039707184,-0.01399933,0.005327463,0.02421582
0.042188644,-0.01498698,0.006328195,0.02806169
0.044670582,-0.01353635,0.006839514,0.03141785
0.047151565,-0.01159468,0.003435314,0.02994102
0.049633503,-0.0125933,0.005319983,0.0179534
0.052114963,-0.01649271,0.004424334,0.02754575
0.054596901,-0.01405044,0.002002567,0.02847892
0.057078838,-0.0174793,0.002019703,0.0279963
0.059560299,-0.01699619,0.005404562,0.02418327
0.062042236,-0.01455267,0.006358534,0.02275109
0.064523697,-0.01601204,0.00640747,0.03043234
0.067005634,-0.01650088,0.002496094,0.02607906
0.069487095,-0.01748465,0.007343054,0.02324104
0.071969032,-0.01455879,0.01172134,0.02567607
0.074450016,-0.01310001,0.01315641,0.02425009
0.076932430,-0.0155369,0.006792337,0.01748323
0.079413414,-0.01795726,0.01027584,0.02951616
0.081895351,-0.01843709,0.01221767,0.02953625
0.084376812,-0.01793534,0.01120234,0.02377319
0.086858749,-0.01596215,0.0111804,0.02233815
0.089340687,-0.01545328,0.01505879,0.0218972
0.091822147,-0.0125071,0.007760018,0.02327657
0.094304085,-0.01834275,0.006328732,0.02519339
0.096785545,-0.02514909,0.001978785,0.02516484
0.099267483,-0.01487991,0.006805807,0.02279752
0.101748943,-0.008044332,0.01939157,0.01858467
0.104230881,-0.01484093,0.0131456,0.02958506
0.106711864,-0.01968966,0.01608458,0.03202248
0.109194279,-0.01186158,0.01114008,0.02237868
0.111675262,0.004759356,0.009760767,0.03962433
0.114160061,-0.02010031,0.005414486,0.0314548
0.116638660,-0.02592385,-0.008799255,0.008306861
0.119120598,-8.106232E-06,-0.007171541,0.03947866
0.121602535,-0.01168986,-0.01297516,0.03175211
0.124083996,-0.03947344,0.002037168,0.009841383
0.126565933,-0.01549309,-0.0008567572,0.02179646
0.129047394,-0.003234938,0.003657222,0.04629904
0.131529331,-0.02906722,-0.002252132,0.02132362
0.134010792,-0.02657369,-0.004193604,0.02034879
0.136492729,-0.02405968,0.0003731847,0.04966462
0.138973713,-0.04890665,-0.0115414,-0.0003094673
0.141455650,-0.01419497,0.001599312,0.01513171
0.143937111,0.01172312,-0.006109059,0.03327399
0.146419048,-0.03020823,0.01482141,0.02151161
0.148900509,-0.03012048,-0.007465243,0.03284943
0.151382446,-0.007128656,0.002309263,0.0468269
0.153864384,-0.03149532,0.0006822348,0.008934557
0.156345844,-0.03434877,0.001566708,-0.003030419
0.158827781,-0.01425283,0.009006441,0.03062201
0.161309242,-0.05419475,-0.005205184,-0.002552152
0.163791179,-0.1213869,0.00549069,-0.02105671
0.166277885,-0.03873616,-0.03219479,0.0447709
0.168754577,-0.01820272,0.004383385,0.06569159
0.171235561,-0.0850257,-0.008105844,-0.01014453
0.173717499,-0.03273684,0.02348876,0.01841444
0.176198959,-0.0009530336,0.01337627,0.04757774
0.178680897,-0.06485181,0.003524423,0.002462864
0.181162357,-0.04719463,-0.005678922,0.01581842
0.183644295,-0.005159974,-0.01475799,0.05360615
0.186126232,-0.05202292,0.01032659,0.005889952
0.188607693,-0.0456204,-0.0005319417,-0.01001847
0.191092491,-0.005056128,0.01041344,0.04762822
0.193576336,-0.04311348,-0.002824813,0.01252317
0.196053028,-0.05086607,-0.005232066,0.01348108
0.198534012,-0.01472645,0.0007020235,0.04372811
0.201016426,-0.0318159,0.01031134,0.02128035
0.203497410,-0.04643582,0.02426037,-0.0001552701
0.205979347,-0.01855339,0.008307576,0.02944887
0.208460808,-0.03559737,0.005961061,0.03665233
0.210942745,-0.05507861,-0.01065716,0.01494443
0.213424682,-0.03747495,0.001527041,0.02895677
0.215906143,-0.04186068,0.007780403,0.02038771
0.218389988,-0.0555035,0.007123411,-0.005015314
0.220869541,-0.04227947,0.01058426,0.0142132
0.223351478,-0.03687768,-0.002016425,0.02274215
0.225832939,-0.05003507,0.0009391904,0.02470678
0.228314876,-0.04076521,-0.005913734,0.02272201
0.230795860,-0.0334594,0.01153961,0.02143037
