Time (s),W,X,Y,Z
0.014889717,0.9324884,-0.1785229,-0.02985807,0.307134
0.034743786,0.9324819,-0.1784893,-0.02977481,0.3071811
0.054596901,0.9325113,-0.1784432,-0.02975078,0.3071209
0.074450016,0.9325587,-0.1784412,-0.0297712,0.3069766
0.094304085,0.9325885,-0.1784761,-0.02984804,0.3068579
0.114160061,0.932621,-0.1784956,-0.02996484,0.3067366
0.134010792,0.9326513,-0.1784688,-0.03019032,0.3066376
0.153864384,0.9326239,-0.1785165,-0.03042116,0.3066707
0.173717499,0.9324921,-0.1787076,-0.03069953,0.3069321
0.193576336,0.9324129,-0.1787894,-0.03083125,0.3071117
0.213424682,0.932327,-0.1788931,-0.0308964,0.3073058
0.233277798,0.9322141,-0.1790194,-0.03088289,0.3075755
0.255613327,0.9321101,-0.179088,-0.03076615,0.3078627
0.275466442,0.9320267,-0.1791315,-0.03054304,0.3081117
0.295319557,0.9319865,-0.1790719,-0.03022494,0.3082993
0.315173626,0.9320002,-0.1789445,-0.02983736,0.30837
0.335026741,0.9320179,-0.1788125,-0.02936373,0.3084384
0.354879856,0.9320231,-0.1786291,-0.02876646,0.3085853
0.374733925,0.9320249,-0.1783924,-0.02808719,0.3087793
0.394587040,0.9320316,-0.1781526,-0.0273731,0.3089612
0.414440155,0.9320605,-0.1778814,-0.02666099,0.3090929
0.434294224,0.9321082,-0.1775955,-0.02596221,0.3091728
0.454147339,0.9322402,-0.1773216,-0.02532898,0.3089843
0.474000454,0.9324178,-0.1770586,-0.02474293,0.3086469
0.493854046,0.93258,-0.1767883,-0.02415876,0.3083577
0.513707638,0.9326556,-0.1765107,-0.02350408,0.3083389
0.533560753,0.9327641,-0.1762114,-0.02285098,0.3082306
0.553414345,0.9328535,-0.1759388,-0.02223838,0.3081606
0.573267937,0.932918,-0.1757626,-0.02155304,0.3081148
0.595603466,0.9330019,-0.1756147,-0.02078732,0.3079974
0.615456581,0.9330302,-0.1755869,-0.02050006,0.3079472
0.635309696,0.9329734,-0.1756325,-0.02048376,0.3080943
0.655163765,0.9329008,-0.1755888,-0.02061716,0.3083301
0.675016880,0.9328591,-0.1754594,-0.02073178,0.308522
0.694869995,0.9328113,-0.175383,-0.02069302,0.3087123
