Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.1022803,-1.148723,-0.03501946,-0.184034,0.3209156,0.95536,25.22694,-0.5919328,-41.31086,1028.93
0.002481937,0.02092784,-1.089269,0.08699975,-0.1850159,0.3213818,0.9515246,25.22694,-0.5919328,-41.31086,1028.93
0.004963875,0.02092784,-1.267631,-0.09602907,-0.1874527,0.3165311,0.9529269,25.22694,-0.5919328,-41.31086,1028.93
0.007445335,0.02092784,-1.089269,-0.03501946,-0.1830539,0.3175069,0.9553313,25.22694,-0.5919328,-41.31086,1028.93
0.009926796,0.08253193,-0.9703615,0.2700286,-0.1835418,0.3199555,0.9577516,25.22694,-0.5919328,-41.31086,1028.93
0.012408733,-0.04067625,-1.089269,0.08699975,-0.1835442,0.3233644,0.9582596,25.22694,-0.5919328,-41.31086,1028.93
0.014889717,-0.04067625,-1.089269,0.08699975,-0.1835436,0.3233673,0.9587396,25.22694,-0.5919328,-41.31086,1028.93
0.017372131,0.08253193,-1.029815,-0.09602907,-0.1801157,0.3185124,0.962057,25.22694,-0.5919328,-41.31086,1028.93
0.019853115,-0.1638844,-1.029815,0.1480094,-0.1806037,0.3165616,0.9610815,25.22694,-0.5919328,-41.31086,1028.93
0.022335052,0.08253193,-0.9109076,0.08699975,-0.1845264,0.3208968,0.9520002,25.22694,-0.5919328,-41.31086,1028.93
0.024816990,0.144136,-0.9703615,-0.03501946,-0.1864855,0.3233206,0.9496217,25.22694,-0.5919328,-41.31086,1028.93
0.027303695,-0.1638844,-0.9109076,0.08699975,-0.1840285,0.3184999,0.9582202,25.22694,-0.5919328,-41.31086,1028.93
0.029780388,-0.1022803,-0.7325459,0.02599015,-0.1791514,0.3228432,0.9544118,25.22694,-0.5919328,-41.31086,1028.93
0.032261848,-0.04067625,-0.9109076,-0.09602907,-0.1820801,0.3199315,0.9543904,25.22694,-0.5919328,-41.31086,1028.93
0.034743786,0.02092784,-0.8514537,0.02599015,-0.1835446,0.3199411,0.9553516,25.22694,-0.5919328,-41.31086,1028.93
0.037225246,-0.1022803,-0.8514537,-0.03501946,-0.1830591,0.3189465,0.951983,25.22694,-0.5919328,-41.31086,1028.931
0.039707184,0.08253193,-0.7919998,0.08699975,-0.1791516,0.3199093,0.9519877,25.22694,-0.5919328,-41.31086,1028.931
0.042188644,-0.04067625,-0.6730919,0.08699975,-0.1801251,0.320908,0.9558368,25.22694,-0.5919328,-41.31086,1028.931
0.044670582,-0.1638844,-0.6730919,0.1480094,-0.178656,0.3214108,0.9591995,25.22694,-0.5919328,-41.31086,1028.931
0.047151565,-0.1638844,-0.4947302,0.02599015,-0.1767005,0.3179909,0.95773,25.9854,-0.9690952,-41.3277,1028.931
0.049633503,-0.2254885,-0.5541841,-0.1570387,-0.1776933,0.3198681,0.9457464,25.9854,-0.9690952,-41.3277,1028.931
